n02666196	abacus
n02667093	abaya
n02669723	academic gown, academic robe, judge's robe
n02672831	accordion, piano accordion, squeeze box
n12267677	acorn
n07717410	acorn squash
n02676566	acoustic guitar
n02680754	adjustable wrench, adjustable spanner
n01694178	African chameleon,Chamaeleo chamaeleon
n02504458	African elephant, Loxodonta africana
n02116738	African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus
n01687978	agama
n12998815	agaric
n02687172	aircraft carrier, carrier, flattop, attack aircraft carrier
n02690373	airliner
n02692877	airship, dirigible
n01689811	alligator lizard
n09193705	alp
n02701002	ambulance
n02133161	American black bear, black bear, Ursus americanus, Euarctos americanus
n01682714	American chameleon, anole, Anolis carolinensis
n01983481	American lobster, Northern lobster, Maine lobster, Homarus americanus
n02704792	amphibian, amphibious vehicle
n02708093	analog clock
n02328150	Angora, Angora rabbit
n02219486	ant, emmet, pismire
n02727426	apiary, bee house
n02730930	apron
n02120079	Arctic fox, white fox, Alopex lagopus
n07718747	artichoke, globe artichoke
n02747177	ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin
n02096294	Australian terrier
n01632777	axolotl, mud puppy, Ambystoma mexicanum
n02486410	baboon
n02769748	backpack, back pack, knapsack, packsack, rucksack, haversack
n02447366	badger
n02773838	bag, traveling bag, travelling bag, grip, suitcase
n02776631	bakery, bakeshop, bakehouse
n02777292	balance beam, beam
n02782093	balloon
n02783161	ballpoint, ballpoint pen, ballpen, Biro
n07753592	banana
n02786058	Band Aid
n01675722	banded gecko
n02787622	banjo
n02788148	bannister, banister, balustrade, balusters, handrail
n02790996	barbell
n02791124	barber chair
n02791270	barbershop
n02793495	barn
n01773549	barn spider, Araneus cavaticus
n02794156	barometer
n02514041	barracouta, snoek
n02795169	barrel, cask
n02797295	barrow, garden cart, lawn cart, wheelbarrow
n02799071	baseball
n02110806	basenji
n02802426	basketball
n02804414	bassinet
n02804610	bassoon
n02808304	bath towel
n02807133	bathing cap, swimming cap
n02808440	bathtub, bathing tub, bath, tub
n02814533	beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon
n02814860	beacon, lighthouse, beacon light, pharos
n02815834	beaker
n02817516	bearskin, busby, shako
n02206856	bee
n02823428	beer bottle
n02823750	beer glass
n02825657	bell cote, bell cot
n07720875	bell pepper
n02834397	bib
n02835271	bicycle-built-for-two, tandem bicycle, tandem
n02837789	bikini, two-piece
n02840245	binder, ring-binder
n02841315	binoculars, field glasses, opera glasses
n02843684	birdhouse
n01773157	black and gold garden spider, Argiope aurantia
n01795545	black grouse
n01774384	black widow, Latrodectus mactans
n02443484	black-footed ferret, ferret, Mustela nigripes
n01742172	boa constrictor, Constrictor constrictor
n02859443	boathouse
n02860847	bobsled, bobsleigh, bob
n13054560	bolete
n02865351	bolo tie, bolo, bola tie, bola
n02869837	bonnet, poke bonnet
n02870880	bookcase
n02871525	bookshop, bookstore, bookstall
n02106166	Border collie
n02877765	bottlecap
n02106382	Bouvier des Flandres, Bouviers des Flandres
n02879718	bow
n02883205	bow tie, bow-tie, bowtie
n01669191	box turtle, box tortoise
n02108089	boxer
n02892201	brass, memorial tablet, plaque
n02892767	brassiere, bra, bandeau
n02894605	breakwater, groin, groyne, mole, bulwark, seawall, jetty
n02895154	breastplate, aegis, egis
n02101388	Brittany spaniel
n07714990	broccoli
n02906734	broom
n02132136	brown bear, bruin, Ursus arctos
n02909870	bucket, pail
n12768682	buckeye, horse chestnut, conker
n02910353	buckle
n02917067	bullet train, bullet
n02916936	bulletproof vest
n01641577	bullfrog, Rana catesbeiana
n02927161	butcher shop, meat market
n07717556	butternut squash
n02930766	cab, hack, taxi, taxicab
n02280649	cabbage butterfly
n02939185	caldron, cauldron
n02951585	can opener, tin opener
n02948072	candle, taper, wax light
n02950826	cannon
n02951358	canoe
n02952374	canteen
n02956795	cap opener
n02965783	car mirror
n02963159	cardigan
n07730033	cardoon
n02966193	carousel, carrousel, merry-go-round, roundabout, whirligig
n02966687	carpenter's kit, tool kit
n02971356	carton
n02977058	cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM
n02979186	cassette player
n02980441	castle
n02981792	catamaran
n07715103	cauliflower
n02988304	CD player
n02992211	cello, violoncello
n02992529	cellular telephone, cellular phone, cellphone, cell, mobile phone
n01784675	centipede
n03000247	chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour
n03000684	chain saw, chainsaw
n03000134	chainlink fence
n01968897	chambered nautilus, pearly nautilus, nautilus
n02130308	cheetah, chetah, Acinonyx jubatus
n03014705	chest
n03017168	chime, bell, gong
n02481823	chimpanzee, chimp, Pan troglodytes
n03018349	china cabinet, china closet
n01955084	chiton, coat-of-mail shell, sea cradle, polyplacophore
n03026506	Christmas stocking
n03028079	church, church building
n02256656	cicada, cicala
n03032252	cinema, movie theater, movie theatre, movie house, picture palace
n03034663	circular saw, buzz saw
n01956481	clam
n03041632	cleaver, meat cleaver, chopper
n03042490	cliff dwelling
n09246464	cliff, drop, drop-off
n03047690	clog, geta, patten, sabot
n02233338	cockroach, roach
n03062245	cocktail shaker
n03063689	coffeepot
n02536864	coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch
n03065424	coil, spiral, volute, whorl, helix
n03068998	collar
n02488702	colobus, colobus monkey
n03075370	combination lock
n01677366	common iguana, iguana, Iguana iguana
n01630670	common newt, Triturus vulgaris
n03085013	computer keyboard, keypad
n01943899	conch
n03089624	confectionery, confectionary, candy store
n03095699	container ship, containership, container vessel
n03100240	convertible
n12985857	coral fungus
n09256479	coral reef
n02112826	corgi, Welsh corgi
n03109150	corkscrew, bottle screw
n12144580	corn
n03110669	cornet, horn, trumpet, trump
